no,judul_proposal,judul_skripsi,prodi_id
1,KLASIFIKASI ABSTRAK JURNAL ILMIAH MENGGUNAKAN ONTOLOGI DATA MINING,KLASIFIKASI ABSTRAK JURNAL ILMIAH MENGGUNAKAN ONTOLOGI DATA MINING,ILKOM
2,PENGAMANAN PESAN SMS DENGAN ALGORITMA KRIPTOGRAFI RC4 PADA PONSEL BERBASIS ANDROID,PENGAMANAN PESAN SMS DENGAN ALGORITMA KRIPTOGRAFI RC4 PADA PONSEL BERBASIS ANDROID,ILKOM
3,PENGKLASIFIKASIAN KUALITAS MINUMAN ANGGUR MENGGUNAKAN ALGORITMA LVQ (LEARNING VECTOR QUANTIATION),PENGKLASIFIKASIAN KUALITAS MINUMAN ANGGUR MENGGUNAKAN ALGORITMA LVQ (LEARNING VECTOR QUANTIATION),ILKOM
4,PENERAPAN ALGORITMA GENETIKA DAN SERIAL SCHEDULE GENERATION SCHEME (SERIAL-SGS) UNTUK PERMASALAHAN RESOURCE CONSTRAINED PROJECT SCHEDULING (RCPS),PENERAPAN ALGORITMA GENETIKA DAN SERIAL SCHEDULE GENERATION SCHEME (SERIAL-SGS) UNTUK PERMASALAHAN RESOURCE CONSTRAINED PROJECT SCHEDULING (RCPS),ILKOM
5,Mesin Pencari Topik Bahasan pada Al-Quran dan Hadits Dengan Menggunakan Metode String Matching,Mesin Pencari Topik Bahasan pada Al-Quran dan Hadits Dengan Menggunakan Metode String Matching,ILKOM
6,PENERAPAN ALGORITMA DOCUMENT INDEX GRAPH (DIG) DAN GROUP-AVERAGE HIERARCHICAL CLUSTERING DALAM PENGELOMPOKAN JURNAL ILMIAH BERBASIS FRASA,PENERAPAN ALGORITMA DOCUMENT INDEX GRAPH (DIG) DAN GROUP-AVERAGE HIERARCHICAL CLUSTERING DALAM PENGELOMPOKAN JURNAL ILMIAH BERBASIS FRASA,ILKOM
7,SISTEM REKOMENDASI FILM MENGGUNAKAN ITEM BASED CLUSTERING HYBRID METHOD,SISTEM REKOMENDASI FILM MENGGUNAKAN ITEM BASED CLUSTERING HYBRID METHOD,ILKOM
8,PENERAPAN METODE CLASSICAL PROBABILITY UNTUK DIAGNOSA PENYAKIT TANAMAN KEDELAI BERBASIS WEB,PENERAPAN METODE CLASSICAL PROBABILITY UNTUK DIAGNOSA PENYAKIT TANAMAN KEDELAI BERBASIS WEB,ILKOM
9,SEQUENTIAL PATTERN MINING UNTUK DATA TRANSAKSI PENJUALAN MENGGUNAKAN SPADE,SEQUENTIAL PATTERN MINING UNTUK DATA TRANSAKSI PENJUALAN MENGGUNAKAN SPADE,ILKOM
10,SISTEM PAKAR UNTUK MENGIDENTIFIKASI HAMA DAN PENYAKIT TANAMAN TEBU,SISTEM PAKAR UNTUK MENGIDENTIFIKASI HAMA DAN PENYAKIT TANAMAN TEBU,ILKOM
11,IMPLEMENTASI FUZZY INFERENCE MACHINE UNTUK MENGIDENTIFIKASI PENYAKIT PADA TANAMAN KEDELAI,IMPLEMENTASI FUZZY INFERENCE MACHINE UNTUK MENGIDENTIFIKASI PENYAKIT PADA TANAMAN KEDELAI,ILKOM
12,APLIKASI PENENTUAN LOKASI KULINER DI KOTA MALANG BERBASIS GIS MENGGUNAKAN MOBILE ANDROID,APLIKASI PENENTUAN LOKASI KULINER DI KOTA MALANG BERBASIS GIS MENGGUNAKAN MOBILE ANDROID,ILKOM
13,PEMBUATAN SISTEM REKOMENDASI UNTUK PEMILIHAN MOBIL PADA RENT CAR DENGAN FUZZY DATABASE MODEL TAHANI BERBASIS WEB,PEMBUATAN SISTEM REKOMENDASI UNTUK PEMILIHAN MOBIL PADA RENT CAR DENGAN FUZZY DATABASE MODEL TAHANI BERBASIS WEB,ILKOM
14,Sistem Temu Balik Informasi Pada Teks Berbahasa Indonesia Menggunakan Bisecting K-Means Clustering,Sistem Temu Balik Informasi Pada Teks Berbahasa Indonesia Menggunakan Bisecting K-Means Clustering,ILKOM
15,penjadwalan flowshop dengan menggunakan algoritma koloni semut,penjadwalan flowshop dengan menggunakan algoritma koloni semut,ILKOM
16,ANALISIS DAN PERANCANGAN SISTEM PRESENSI PADA AKADEMI ANALIS KESEHATAN MALANG,ANALISIS DAN PERANCANGAN SISTEM PRESENSI PADA AKADEMI ANALIS KESEHATAN MALANG,ILKOM
17,KOMPRESI SHORT MESSAGE SERVICE MENGGUNAKAN MODIFIKASI ALGORITMA HALF BYTE.,KOMPRESI SHORT MESSAGE SERVICE MENGGUNAKAN MODIFIKASI ALGORITMA HALF BYTE.,ILKOM
18,PENERAPAN DATA MINING ALGORITMA DECISSION TREE C5.0 UNTUK MEMPREDIKSI HARGA SAHAM,PENERAPAN DATA MINING ALGORITMA DECISSION TREE C5.0 UNTUK MEMPREDIKSI HARGA SAHAM,ILKOM
19,PENGELOMPOKAN EMOSI BERDASARKAN LIRIK LAGU MENGGUNAKAN ALGORITMA ITERATIVE DICHOTOMIZER TREE ,PENGELOMPOKAN EMOSI BERDASARKAN LIRIK LAGU MENGGUNAKAN ALGORITMA ITERATIVE DICHOTOMIZER TREE ,ILKOM
20,DETEKSI TEMPAT KSONG LAHAN PARKIR MOBIL MENGGUNAKAN METODE VEHICLE DETECTION DENGAN OPERATOR LAPLACIAN OF GAUSSIAN (LOG),DETEKSI TEMPAT KSONG LAHAN PARKIR MOBIL MENGGUNAKAN METODE VEHICLE DETECTION DENGAN OPERATOR LAPLACIAN OF GAUSSIAN (LOG),ILKOM
21,IMPLEMENTASI METODE HIERARCHICAL CLUSTERING  PADA OZONE LEVEL DETECTION DATASET,IMPLEMENTASI METODE HIERARCHICAL CLUSTERING  PADA OZONE LEVEL DETECTION DATASET,ILKOM
22,IMPLEMENTASI WATERMARKING PADA CITRA MEDIS MENGGUNAKAN DESCRETE WAVELET TRANSFORM (DWT) DAN MOST SIGNIFICANT BIT (MSB),IMPLEMENTASI WATERMARKING PADA CITRA MEDIS MENGGUNAKAN DESCRETE WAVELET TRANSFORM (DWT) DAN MOST SIGNIFICANT BIT (MSB),ILKOM
23,KLASIFIKASI EMOSI PADA TEKS BERBAHASA INDONESIA MENGGUNAKAN ALGORITMA C-S-O,KLASIFIKASI EMOSI PADA TEKS BERBAHASA INDONESIA MENGGUNAKAN ALGORITMA C-S-O,ILKOM
24,IMPLEMENTASI K-MODES PADA CLUSTERING DATA KATEGORI MENGGUNAKAN NEW DISSIMILARITY MEASURE,IMPLEMENTASI K-MODES PADA CLUSTERING DATA KATEGORI MENGGUNAKAN NEW DISSIMILARITY MEASURE,ILKOM
25,DETEKSI PLAGIARISME DOKUMEN TEKS MENGGUNAKAN ALGORITMA RABIN-KARP DENGAN SYNONYM RECOGNITION,DETEKSI PLAGIARISME DOKUMEN TEKS MENGGUNAKAN ALGORITMA RABIN-KARP DENGAN SYNONYM RECOGNITION,ILKOM
26,OPTIMASI WAKTU BODY REPAIR MOBIL MENGGUNAKAN ALGORITMA GENETIKA,OPTIMASI WAKTU BODY REPAIR MOBIL MENGGUNAKAN ALGORITMA GENETIKA,ILKOM
27,Rancang Bangun Sistem Informasi Wisata Malang Raya Berbasis Teknologi Augmented Reality pada Sistem Operasi Android,Rancang Bangun Sistem Informasi Wisata Malang Raya Berbasis Teknologi Augmented Reality pada Sistem Operasi Android,ILKOM
28,Perancangan dan Implementasi Sistem Pakar Pendiagnosa Penyakit Anjing dengan Metode Bayesian Network,Perancangan dan Implementasi Sistem Pakar Pendiagnosa Penyakit Anjing dengan Metode Bayesian Network,ILKOM
29,Keamanan Data pada Jaringan Wimax Menggunakan Algoritma Advance Encryption Standart Rijndael 256 BIT,Keamanan Data pada Jaringan Wimax Menggunakan Algoritma Advance Encryption Standart Rijndael 256 BIT,ILKOM
30,Perancangan dan Implementasi Jaringan VO IP (Voice Over Internet Protocol) di Universitas Brawijaya Menggunakan Server Asterisk dan Asterisknow,Perancangan dan Implementasi Jaringan VO IP (Voice Over Internet Protocol) di Universitas Brawijaya Menggunakan Server Asterisk dan Asterisknow,ILKOM
31,Pengembangan Sistem Pakar untuk Prediksi Potensi diabetes pada Wanita dengan Similarity Classifier Berdasarkan P-Probabilistic Extension,Pengembangan Sistem Pakar untuk Prediksi Potensi diabetes pada Wanita dengan Similarity Classifier Berdasarkan P-Probabilistic Extension,ILKOM
